questionLabel,prob,surveyIssued,Q
QF1_1,0.050588235294117656,2020-04-27,QF1
QF1_2,0.17647058823529413,2020-04-27,QF1
QF1_3,0.3176470588235294,2020-04-27,QF1
QF1_4,0.27470588235294124,2020-04-27,QF1
QF1_5,0.1805882352941177,2020-04-27,QF1
QF2_1,4809660.0,2020-04-27,QF2
QF2_2,14459293.25,2020-04-27,QF2
QF2_3,28096615.0,2020-04-27,QF2
QF3_1,0.047058823529411764,2020-04-27,QF3
QF3_2,0.1252941176470588,2020-04-27,QF3
QF3_3,0.20735294117647055,2020-04-27,QF3
QF3_4,0.2602941176470588,2020-04-27,QF3
QF3_5,0.35999999999999993,2020-04-27,QF3
QF4_1,579.7647058823529,2020-04-27,QF4
QF4_2,1044.1176470588234,2020-04-27,QF4
QF4_3,2292.4117647058824,2020-04-27,QF4
QF5_1,273.0588235294117,2020-04-27,QF5
QF5_2,487.29411764705884,2020-04-27,QF5
QF5_3,1156.1764705882354,2020-04-27,QF5
