"question","expertID","min","mode","max"
"QF2",2,1100000,1750000,3e+06
"QF2",3,1e+07,7.5e+07,1e+08
"QF2",4,5e+06,1e+07,2.5e+07
"QF2",6,7e+06,1.5e+07,2.5e+07
"QF2",9,3e+06,1e+07,2.5e+07
"QF2",12,5e+06,1e+07,2e+07
"QF2",13,4e+06,7500000,2e+07
"QF2",17,7500000,1.5e+07,2.2e+07
"QF2",19,959560,11508692,14365840
"QF2",23,1100000,4e+06,8e+06
"QF2",24,1500000,1e+07,5e+07
"QF2",27,8e+06,1.2e+07,3e+07
"QF2",28,5e+06,1e+07,3.5e+07
"QF2",29,8e+06,1.2e+07,1.8e+07
"QF2",33,4795000,9590000,19180000
"QF2",40,5e+06,1.8e+07,3.5e+07
"QF4",0,600,700,900
"QF4",2,300,700,1300
"QF4",3,800,2000,12000
"QF4",4,300,500,1000
"QF4",6,700,1000,1500
"QF4",9,400,600,800
"QF4",12,700,900,1200
"QF4",13,600,1200,2000
"QF4",17,400,2000,3500
"QF4",19,1000,1400,3000
"QF4",23,642,1000,1571
"QF4",24,300,700,1500
"QF4",27,1000,1500,3000
"QF4",28,500,850,1200
"QF4",29,714,1000,1200
"QF4",33,500,600,800
"QF4",40,400,1100,2500
"QF5",0,400,600,900
"QF5",2,200,500,900
"QF5",3,200,800,8000
"QF5",4,200,300,500
"QF5",6,100,300,500
"QF5",9,50,150,300
"QF5",12,600,500,400
"QF5",13,300,600,1000
"QF5",17,50,100,500
"QF5",19,500,700,900
"QF5",23,142,642,1000
"QF5",24,100,400,800
"QF5",27,500,700,1200
"QF5",28,300,550,850
"QF5",29,500,642,785
"QF5",33,400,550,720
"QF5",40,100,250,400
