questionType,answer,expertID,QID,questionLabel
masthead,I agree,0,0,Q0-1
probCat,0,0,1,QF1_1
probCat,0.25,0,2,QF1_2
probCat,0.5,0,3,QF1_3
probCat,0.25,0,4,QF1_4
probCat,0,0,5,QF1_5
probCat,,0,6,QF2_1
probCat,,0,7,QF2_2
probCat,,0,8,QF2_3
probCat,0,0,9,QF3_1
probCat,0,0,10,QF3_2
probCat,0,0,11,QF3_3
probCat,0.5,0,12,QF3_4
probCat,0.5,0,13,QF3_5
probCat,600,0,14,QF4_1
probCat,700,0,15,QF4_2
probCat,900,0,16,QF4_3
probCat,400,0,17,QF5_1
probCat,600,0,18,QF5_2
probCat,900,0,19,QF5_3
comments,,0,20,QF6
masthead,I agree,2,0,Q0-1
probCat,0.05,2,1,QF1_1
probCat,0.25,2,2,QF1_2
probCat,0.25,2,3,QF1_3
probCat,0.3,2,4,QF1_4
probCat,0.15,2,5,QF1_5
probCat,1100000,2,6,QF2_1
probCat,1750000,2,7,QF2_2
probCat,3000000,2,8,QF2_3
probCat,0.05,2,9,QF3_1
probCat,0.15,2,10,QF3_2
probCat,0.3,2,11,QF3_3
probCat,0.3,2,12,QF3_4
probCat,0.2,2,13,QF3_5
probCat,300,2,14,QF4_1
probCat,700,2,15,QF4_2
probCat,1300,2,16,QF4_3
probCat,200,2,17,QF5_1
probCat,500,2,18,QF5_2
probCat,900,2,19,QF5_3
comments,,2,20,QF6
masthead,I agree,3,0,Q0-1
probCat,0.1,3,1,QF1_1
probCat,0.4,3,2,QF1_2
probCat,0.4,3,3,QF1_3
probCat,0.05,3,4,QF1_4
probCat,0.05,3,5,QF1_5
probCat,10000000,3,6,QF2_1
probCat,75000000,3,7,QF2_2
probCat,100000000,3,8,QF2_3
probCat,0.35,3,9,QF3_1
probCat,0.3,3,10,QF3_2
probCat,0.2,3,11,QF3_3
probCat,0.1,3,12,QF3_4
probCat,0.05,3,13,QF3_5
probCat,800,3,14,QF4_1
probCat,2000,3,15,QF4_2
probCat,12000,3,16,QF4_3
probCat,200,3,17,QF5_1
probCat,800,3,18,QF5_2
probCat,8000,3,19,QF5_3
comments,,3,20,QF6
masthead,I agree,4,0,Q0-1
probCat,0,4,1,QF1_1
probCat,0.1,4,2,QF1_2
probCat,0.3,4,3,QF1_3
probCat,0.4,4,4,QF1_4
probCat,0.2,4,5,QF1_5
probCat,5000000,4,6,QF2_1
probCat,10000000,4,7,QF2_2
probCat,25000000,4,8,QF2_3
probCat,0,4,9,QF3_1
probCat,0.1,4,10,QF3_2
probCat,0.2,4,11,QF3_3
probCat,0.4,4,12,QF3_4
probCat,0.3,4,13,QF3_5
probCat,300,4,14,QF4_1
probCat,500,4,15,QF4_2
probCat,1000,4,16,QF4_3
probCat,200,4,17,QF5_1
probCat,300,4,18,QF5_2
probCat,500,4,19,QF5_3
comments,,4,20,QF6
masthead,I agree,6,0,Q0-1
probCat,0,6,1,QF1_1
probCat,0,6,2,QF1_2
probCat,0.1,6,3,QF1_3
probCat,0.3,6,4,QF1_4
probCat,0.6,6,5,QF1_5
probCat,7000000,6,6,QF2_1
probCat,15000000,6,7,QF2_2
probCat,25000000,6,8,QF2_3
probCat,0,6,9,QF3_1
probCat,0.1,6,10,QF3_2
probCat,0.2,6,11,QF3_3
probCat,0.3,6,12,QF3_4
probCat,0.4,6,13,QF3_5
probCat,700,6,14,QF4_1
probCat,1000,6,15,QF4_2
probCat,1500,6,16,QF4_3
probCat,100,6,17,QF5_1
probCat,300,6,18,QF5_2
probCat,500,6,19,QF5_3
comments,,6,20,QF6
masthead,I agree,9,0,Q0-1
probCat,0.1,9,1,QF1_1
probCat,0.2,9,2,QF1_2
probCat,0.25,9,3,QF1_3
probCat,0.3,9,4,QF1_4
probCat,0.15,9,5,QF1_5
probCat,3000000,9,6,QF2_1
probCat,10000000,9,7,QF2_2
probCat,25000000,9,8,QF2_3
probCat,0.01,9,9,QF3_1
probCat,0.09,9,10,QF3_2
probCat,0.1,9,11,QF3_3
probCat,0.3,9,12,QF3_4
probCat,0.5,9,13,QF3_5
probCat,400,9,14,QF4_1
probCat,600,9,15,QF4_2
probCat,800,9,16,QF4_3
probCat,50,9,17,QF5_1
probCat,150,9,18,QF5_2
probCat,300,9,19,QF5_3
comments,,9,20,QF6
masthead,I agree,12,0,Q0-1
probCat,0.15,12,1,QF1_1
probCat,0.3,12,2,QF1_2
probCat,0.3,12,3,QF1_3
probCat,0.15,12,4,QF1_4
probCat,0.1,12,5,QF1_5
probCat,5000000,12,6,QF2_1
probCat,10000000,12,7,QF2_2
probCat,20000000,12,8,QF2_3
probCat,0.1,12,9,QF3_1
probCat,0.2,12,10,QF3_2
probCat,0.25,12,11,QF3_3
probCat,0.25,12,12,QF3_4
probCat,0.2,12,13,QF3_5
probCat,700,12,14,QF4_1
probCat,900,12,15,QF4_2
probCat,1200,12,16,QF4_3
probCat,600,12,17,QF5_1
probCat,500,12,18,QF5_2
probCat,400,12,19,QF5_3
comments,,12,20,QF6
masthead,I agree,13,0,Q0-1
probCat,0.1,13,1,QF1_1
probCat,0.2,13,2,QF1_2
probCat,0.4,13,3,QF1_3
probCat,0.2,13,4,QF1_4
probCat,0.1,13,5,QF1_5
probCat,4000000,13,6,QF2_1
probCat,7500000,13,7,QF2_2
probCat,20000000,13,8,QF2_3
probCat,0.01,13,9,QF3_1
probCat,0.09,13,10,QF3_2
probCat,0.2,13,11,QF3_3
probCat,0.2,13,12,QF3_4
probCat,0.5,13,13,QF3_5
probCat,600,13,14,QF4_1
probCat,1200,13,15,QF4_2
probCat,2000,13,16,QF4_3
probCat,300,13,17,QF5_1
probCat,600,13,18,QF5_2
probCat,1000,13,19,QF5_3
comments,,13,20,QF6
masthead,I agree,17,0,Q0-1
probCat,0.01,17,1,QF1_1
probCat,0.1,17,2,QF1_2
probCat,0.3,17,3,QF1_3
probCat,0.3,17,4,QF1_4
probCat,0.29,17,5,QF1_5
probCat,7500000,17,6,QF2_1
probCat,15000000,17,7,QF2_2
probCat,22000000,17,8,QF2_3
probCat,0,17,9,QF3_1
probCat,0,17,10,QF3_2
probCat,0.1,17,11,QF3_3
probCat,0.1,17,12,QF3_4
probCat,0.8,17,13,QF3_5
probCat,400,17,14,QF4_1
probCat,2000,17,15,QF4_2
probCat,3500,17,16,QF4_3
probCat,50,17,17,QF5_1
probCat,100,17,18,QF5_2
probCat,500,17,19,QF5_3
comments,,17,20,QF6
masthead,I agree,19,0,Q0-1
probCat,0,19,1,QF1_1
probCat,0.25,19,2,QF1_2
probCat,0.5,19,3,QF1_3
probCat,0.25,19,4,QF1_4
